"","Date","Price","bing_score","nrc_score.x","Afinn_score.x","Price2"
"439",2014-01-16,4.16518163125428,0,1,0,35.3960638402037
"440",2014-01-17,4.30089102124743,0,0,4,36.1909331244492
"441",2014-01-18,4.30089102124743,4,4,11,36.1909331244492
"442",2014-01-20,4.24057573680603,0,-1,-2,35.8376578870068
"443",2014-01-25,4.24057573680603,-2,0,1,35.8376578870068
"444",2014-01-26,4.24057573680603,0,2,2,35.8376578870068
"445",2014-01-28,4.3899931459904,1,6,11,36.7128169979438
"446",2014-01-29,4.35298149417409,-3,-2,-2,36.4960344658768
"447",2014-01-30,4.4256339958876,-3,-2,-1,36.9215705473416
"448",2014-01-31,4.26113776559287,0,0,0,35.958092627044
"449",2014-02-03,4.04043865661412,-3,-3,-3,34.6654264173113
"450",2014-02-05,4.07607950651131,-2,-2,-4,34.8741799667091
"451",2014-02-12,4.32419465387252,0,3,0,36.3274258298247
"452",2014-02-13,4.37354352296093,-3,-3,0,36.616469205914
"453",2014-02-14,4.32556545579164,2,1,10,36.3354548124939
"454",2014-02-17,4.32556545579164,0,3,0,36.3354548124939
"455",2014-02-24,4.4804660726525,2,3,2,37.2427298541075
"456",2014-02-26,4.42974640164496,2,3,4,36.9456574953491
"457",2014-03-03,4.68608636052091,-4,1,-7,38.4470772544796
"458",2014-03-04,4.39958875942427,0,0,1,36.7690198766278
"459",2014-03-12,4.22275531185744,1,-1,-1,35.7332811123078
"460",2014-03-17,4.10075394105552,0,1,1,35.0187016547537
"461",2014-03-22,4.10075394105552,1,-1,1,35.0187016547537
"462",2014-03-26,3.95133653187115,-1,0,0,34.1435425438167
"463",2014-03-28,4.05277587388622,0,1,1,34.7376872613336
"464",2014-04-01,3.92392049348869,0,1,0,33.9829628904338
"465",2014-04-09,4.15558601782043,1,4,3,35.3398609615196
"466",2014-04-10,4.11583276216587,3,5,11,35.1070204641144
"467",2014-04-15,4.3899931459904,1,0,0,36.7128169979438
"468",2014-04-18,4.3899931459904,1,1,3,36.7128169979438
"469",2014-04-21,4.47087045921865,6,5,17,37.1865269754235
"470",2014-04-22,4.31322823851954,-5,-3,-11,36.2631939684716
"471",2014-05-02,4.44208361891707,1,0,3,37.0179183393714
"472",2014-05-03,4.44208361891707,-3,-1,-3,37.0179183393714
"473",2014-05-07,4.262508567512,0,0,-3,35.9661216097131
"474",2014-05-08,4.26525017135024,-3,-3,-7,35.9821795750514
"475",2014-05-10,4.26525017135024,0,0,-3,35.9821795750514
"476",2014-05-13,4.34612748457848,2,4,5,36.4558895525311
"477",2014-05-19,4.62851267991775,-1,3,2,38.1098599823754
"478",2014-05-20,4.56134338588074,1,5,1,37.7164398315872
"479",2014-05-23,4.53941055517478,0,-4,-5,37.5879761088809
"480",2014-05-27,4.48732008224812,-1,0,0,37.2828747674533
"481",2014-05-30,4.40507196710075,-3,-2,-3,36.8011358073044
"482",2014-06-02,4.42289239204935,1,3,3,36.9055125820033
"483",2014-06-03,4.35846470185058,-2,1,-3,36.5281503965534
"484",2014-06-04,4.38588074023304,0,1,0,36.6887300499364
"485",2014-06-10,4.40095956134339,-3,-3,-7,36.777048859297
"486",2014-06-11,4.49006168608636,-2,-3,-6,37.2989327327916
"487",2014-06-12,4.8122001370802,-4,-2,-5,39.1857436600411
"488",2014-06-13,4.9451679232351,-1,-1,-3,39.9645549789484
"489",2014-06-14,4.9451679232351,-3,-3,-1,39.9645549789484
"490",2014-06-16,4.98217957505141,0,-1,-3,40.1813375110154
"491",2014-06-17,5.06442769019877,0,1,6,40.6630764711642
"492",2014-06-19,5.22481151473612,0,-1,-1,41.6024674434544
"493",2014-06-23,5.00959561343386,-1,1,-1,40.3419171643983
"494",2014-06-26,4.87114461960247,0,2,1,39.5309899148145
"495",2014-06-30,4.65455791638109,0,1,3,38.2624106530892
"496",2014-07-01,4.62851267991775,4,3,3,38.1098599823754
"497",2014-07-02,4.53803975325566,1,2,0,37.5799471262117
"498",2014-07-03,4.37354352296093,2,1,5,36.616469205914
