"","Date","Price","Text","bing_score","nrc_score","afin_score"
"211",2017-02-24,54.69,"trump vows to fight epidemic of human trafficking  t co odlz ndrta",0,-2,-1
"212",2017-02-24,54.69,"find the leakers within the fbi itself classified information is being given to media that could have a devastating effect on u s find now",-1,0,-2
"213",2017-02-25,54.69,"great optimism for future of u s business and jobs with the dow having an th straight record close big tax amp regulation cuts coming ",1,0,6
"214",2017-02-25,54.69,"weekly address from whitehouse  t co uaoqshboqb  t co ef ac kec",0,0,0
"215",2017-02-25,54.69,"the media has not reported that the national debt in my first month went down by billion vs a billion increase in obama first mo ",-1,0,-1
"216",2017-02-25,54.69,"i will not be attending the white house correspondents association dinner this year please wish everyone well and have a great evening ",0,2,5
"217",2017-02-25,54.69,"congratulations to thomas perez who has just been named chairman of the dnc i could not be happier for him or for the republican party ",2,1,2
"218",2017-02-25,54.69,"maybe the millions of people who voted to make america great again should have their own rally it would be the biggest of them all ",0,0,3
"219",2017-02-25,54.69,"fake news media knowingly doesn t tell the truth a great danger to our country the failing nytimes has become a joke likewise cnn sad ",-5,-3,-4
"220",2017-02-26,54.69,"russia talk is fake news put out by the dems and played up by the media in order to mask the big election defeat and the illegal leaks ",-2,-2,-5
"221",2017-02-26,54.69,"big dinner with governors tonight at white house much to be discussed including healthcare ",0,3,1
"222",2017-02-26,54.69,"the race for dnc chairman was of course totally rigged bernie s guy like bernie himself never had a chance clinton demanded perez ",0,1,2
"223",2017-02-26,54.69,"for first time the failing nytimes will take an ad a bad one to help save its failing reputation try reporting accurately amp fairly ",0,0,-1
"224",2017-02-27,54.65,"great meeting with ceos of leading u s health insurance companies who provide great healthcare to the american peo  t co jigi ffs",1,1,3
"225",2017-02-27,54.65,"gop now viewed more favorably than dems in trump era per nbc wsj poll via hotlinejosh  t co soebxtg zd",1,0,0
"226",2017-02-28,53.36,"i will be interviewed on foxandfriends at a m enjoy ",1,1,2
"227",2017-03-01,55.72," jointsession maga  t co rdo jt pip",0,0,0
"228",2017-03-01,55.72,"thank you ",0,0,2
"229",2017-03-01,55.72,"join me live at p m jointaddress  t co j zbyvkj  t co gttk vjmku",0,1,1
"230",2017-03-02,54.16,"since november th election day the stock market has posted trillion in gains and consumer confidence is at a year high jobs ",2,1,4
"231",2017-03-03,54.12,"we must fix our education system for our kids to make america great again wonderful day at saint andrew in orlando  t co otjahcvlzf",2,2,7
"232",2017-03-03,54.12,"i hearby demand a second investigation after schumer of pelosi for her close ties to russia and lying about it  t co qcdljff wn",-1,-2,-1
"233",2017-03-03,54.12,"make america great again  t co kuqizdz ra",0,0,3
"234",2017-03-03,54.12,"weekly addressjoin me here  t co seavqk zy  t co enyxyeqgcp",0,0,0
"235",2017-03-03,54.12," intentional this whole narrative is a way of saving face for democrats losing an election that everyone thought they were supposed ",-1,-1,-3
"236",2017-03-03,54.12," to win the democrats are overplaying their hand they lost the election and now they have lost their grip on reality the real story ",-1,0,1
"237",2017-03-03,54.12,"it is so pathetic that the dems have still not approved my full cabinet ",-1,1,0
"238",2017-03-03,54.12,"i hereby demand a second investigation after schumer of pelosi for her close ties to russia and lying about it  t co qcdljff wn",-1,-2,-1
"239",2017-03-03,54.12,"jeff sessions is an honest man he did not say anything wrong he could have stated his response more accurately but it was clearly not ",1,0,1
